id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1399255637142368258,1399248778297806848,2021-05-31 14:45:15 WITA,2021-05-31,14:45:15,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,,@KompasTV @fadlizon Semoga lekas sembuh Pak 🙏,in,[],[],[],0,0,2,[],[],https://twitter.com/susipudjiastuti/status/1399255637142368258,False,,0,,,,,,,,"[{'screen_name': 'KompasTV', 'name': 'KOMPAS TV', 'id': '71436318'}, {'screen_name': 'fadlizon', 'name': 'FADLI ZON (Youtube: Fadli Zon Official)', 'id': '79139422'}]",,,,
1399254914182770691,1399240583902765058,2021-05-31 14:42:23 WITA,2021-05-31,14:42:23,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,,@tempodotco 👏👏👏👍👍👍,und,[],[],[],2,0,3,[],[],https://twitter.com/susipudjiastuti/status/1399254914182770691,False,,0,,,,,,,,"[{'screen_name': 'tempodotco', 'name': 'TEMPO.CO', 'id': '18129942'}]",,,,
1399212694796787716,1399212694796787716,2021-05-31 11:54:37 WITA,2021-05-31,11:54:37,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,,👏👏👏🇮🇩🇮🇩🇮🇩❤️❤️❤️,und,[],[],[],5,4,98,[],[],https://twitter.com/susipudjiastuti/status/1399212694796787716,False,https://twitter.com/tempodotco/status/1398960901739352064,0,,,,,,,,[],,,,
1399211789007523843,1399211534102925312,2021-05-31 11:51:01 WITA,2021-05-31,11:51:01,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,, https://t.co/8yTUxdAlZl,und,[],['https://www.cnbcindonesia.com/news/20210530202001-4-249379/ada-kerja-paksa-as-larang-impor-hasil-laut-kapal-china'],[],4,12,87,[],[],https://twitter.com/susipudjiastuti/status/1399211789007523843,False,,0,,,,,,,,[],,,,
1399211534102925312,1399211534102925312,2021-05-31 11:50:00 WITA,2021-05-31,11:50:00,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,,Found an article you may be interested in:  https://t.co/Rkmvk3SKeQ,en,[],['https://m.theepochtimes.com/us-seafood-ban-of-chinese-company-over-forced-labor-is-not-enough_3835594.html?welcomeuser=1'],[],10,17,130,[],[],https://twitter.com/susipudjiastuti/status/1399211534102925312,False,,0,,,,,,,,[],,,,
1399211442633515014,1399211442633515014,2021-05-31 11:49:38 WITA,2021-05-31,11:49:38,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,, https://t.co/wYmvHSn8FB,und,[],['https://www.cbp.gov/newsroom/national-media-release/cbp-issues-withhold-release-order-chinese-fishing-fleet'],[],3,3,10,[],[],https://twitter.com/susipudjiastuti/status/1399211442633515014,False,,0,,,,,,,,[],,,,
1399195985931169793,1399195985931169793,2021-05-31 10:48:13 WITA,2021-05-31,10:48:13,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,,Link yg bagus untk mengenal apa itu ilegal fishing .. dan kenapa harus kita perangi 👇👇👇👇👇👇👇👇👇👇👇Seeker - Here's What it Takes to Stop Illegal Fishing | Facebook  https://t.co/7RoJjppDRY,in,[],['https://www.facebook.com/SeekerMedia/videos/heres-what-it-takes-to-stop-illegal-fishing/825780301674156/'],[],8,30,119,[],[],https://twitter.com/susipudjiastuti/status/1399195985931169793,False,,0,,,,,,,,[],,,,
1399018974218657796,1399018974218657796,2021-05-30 23:04:50 WITA,2021-05-30,23:04:50,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,,Ban Transhipment .. we should not allow to take place anywhere 👇,en,[],[],[],7,6,98,[],[],https://twitter.com/susipudjiastuti/status/1399018974218657796,False,https://twitter.com/pewenvironment/status/1399017978650300422,0,,,,,,,,[],,,,
1398909160549359616,1398909160549359616,2021-05-30 15:48:29 WITA,2021-05-30,15:48:29,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,,😭😭😭😩😩😩😩,und,[],[],[],140,134,973,[],[],https://twitter.com/susipudjiastuti/status/1398909160549359616,False,https://twitter.com/kompascom/status/1398779700562984961,0,,,,,,,,[],,,,
1398899263967428608,1398899263967428608,2021-05-30 15:09:09 WITA,2021-05-30,15:09:09,+0800,2606229566,susipudjiastuti,Susi Pudjiastuti,, https://t.co/cAdW9aCAhU,und,[],[],['https://pbs.twimg.com/media/E2njdt4VEAEjG3a.png'],19,6,143,[],[],https://twitter.com/susipudjiastuti/status/1398899263967428608,False,https://twitter.com/tirtoid/status/1398896962846461954,1,https://pbs.twimg.com/media/E2njdt4VEAEjG3a.png,,,,,,,[],,,,
